ID,first_name,last_name,player_id
203,Kam,Jones,1642880
204,T.J.,McConnell,204456
205,Cameron,Payne,1626166
206,Alex,Caruso,1627936
207,Isaiah,Hartenstein,1628392
208,Shai,Gilgeous-Alexander,1628983
209,Kenrich,Williams,1629026
210,Luguentz,Dort,1629652
211,Isaiah,Joe,1630198
212,Trendon,Watford,1630570
213,Aaron,Wiggins,1630598
214,MarJon,Beauchamp,1630699
215,Chet,Holmgren,1631096
216,Jalen,Williams,1631114
217,Jaylin,Williams,1631119
218,Jabari,Walker,1631133
219,Dalen,Terry,1631207
220,Tyrese,Martin,1631213
221,Dominick,Barlow,1631230
222,Cason,Wallace,1641717
223,Adem,Bona,1641737
224,Jared,McCain,1642272
225,Justin,Edwards,1642348
226,Ajay,Mitchell,1642349
227,Branden,Carlson,1642382
228,VJ,Edgecombe,1642845
229,Brooks,Barnhizer,1642964
230,Kyle,Lowry,200768
231,Andre,Drummond,203083
232,Norman,Powell,1626181
233,De'Aaron,Fox,1628368
234,Bam,Adebayo,1628389
235,Luke,Kornet,1628436
236,Jordan,McLaughlin,1629162
237,Tyler,Herro,1629639
238,Keldon,Johnson,1629640
239,Devin,Vassell,1630170
240,Lindy,Waters III,1630322
241,Davion,Mitchell,1630558
242,Julian,Champagnie,1630577
243,Dru,Smith,1630696
244,Nikola,Jovic,1631107
245,Jaime,Jaquez Jr.,1631170
246,Simone,Fontecchio,1631323
247,Victor,Wembanyama,1641705
248,Pelle,Larsson,1641796
249,Myron,Gardner,1642066
250,Stephon,Castle,1642264
251,Kel'el,Ware,1642276
252,Keshad,Johnson,1642352
253,Dylan,Harper,1642844
254,Kasparas,Jakucionis,1642857
255,Carter,Bryant,1642868
256,Bismack,Biyombo,202687
257,Harrison,Barnes,203084
258,Kelly,Olynyk,203482
259,Mason,Plumlee,203486
260,Andrew,Wiggins,203952
261,Devin,Booker,1626164
262,Royce,O'Neale,1626220
263,Jakob,Poeltl,1627751
264,Immanuel,Quickley,1630193
265,Jalen,Green,1630224
266,Isaiah,Livers,1630587
267,Jordan,Goodwin,1630692
268,Jamaree,Bouyea,1631123
